timestamp,name,enduse,real[kWh],reactive[kVArh]
2020-01-01 09:00:00 PST,house:5,DRYER,0.0969193,0.0138103
2020-01-01 09:00:00 PST,house:2,HVAC,0,0
2020-01-01 09:00:00 PST,house:2,LIGHTS,0.140979,0.0353327
2020-01-01 09:00:00 PST,house:2,PLUGS,0.172308,0.0834524
2020-01-01 09:00:00 PST,house:2,DISHWASHER,0.0110972,0.00225338
2020-01-01 09:00:00 PST,house:2,MICROWAVE,0.011173,0.0113987
2020-01-01 09:00:00 PST,house:2,FREEZER,0.0245953,0.011912
2020-01-01 09:00:00 PST,house:2,REFRIGERATOR,0.0979339,0.0474315
2020-01-01 09:00:00 PST,house:2,RANGE,0.0159614,0.00989198
2020-01-01 09:00:00 PST,house:2,WATERHEATER,0.265537,0
2020-01-01 09:00:00 PST,house:2,CLOTHESWASHER,0.0118166,0.00572304
2020-01-01 09:00:00 PST,house:2,DRYER,0.0969193,0.0138103
2020-01-01 10:00:00 PST,house:8,HVAC,0,0
2020-01-01 10:00:00 PST,house:8,LIGHTS,0.133427,0.0334399
2020-01-01 10:00:00 PST,house:8,PLUGS,0.163077,0.0789818
2020-01-01 10:00:00 PST,house:8,DISHWASHER,0.00902821,0.00183326
2020-01-01 10:00:00 PST,house:8,MICROWAVE,0.0116927,0.0119289
2020-01-01 10:00:00 PST,house:8,FREEZER,0.0247697,0.0119965
2020-01-01 10:00:00 PST,house:8,REFRIGERATOR,0.0966942,0.0468311
2020-01-01 10:00:00 PST,house:8,RANGE,0.0167038,0.0103521
2020-01-01 10:00:00 PST,house:8,WATERHEATER,0.231638,0
2020-01-01 10:00:00 PST,house:8,CLOTHESWASHER,0.0120406,0.00583153
2020-01-01 10:00:00 PST,house:8,DRYER,0.113534,0.0161777
2020-01-01 10:00:00 PST,house:5,HVAC,0,0
2020-01-01 10:00:00 PST,house:5,LIGHTS,0.133427,0.0334399
2020-01-01 10:00:00 PST,house:5,PLUGS,0.163077,0.0789818
2020-01-01 10:00:00 PST,house:5,DISHWASHER,0.00902821,0.00183326
2020-01-01 10:00:00 PST,house:5,MICROWAVE,0.0116927,0.0119289
2020-01-01 10:00:00 PST,house:5,FREEZER,0.0247697,0.0119965
2020-01-01 10:00:00 PST,house:5,REFRIGERATOR,0.0966942,0.0468311
2020-01-01 10:00:00 PST,house:5,RANGE,0.0167038,0.0103521
2020-01-01 10:00:00 PST,house:5,WATERHEATER,0.231638,0
2020-01-01 10:00:00 PST,house:5,CLOTHESWASHER,0.0120406,0.00583153
2020-01-01 10:00:00 PST,house:5,DRYER,0.113534,0.0161777
2020-01-01 10:00:00 PST,house:2,HVAC,0,0
2020-01-01 10:00:00 PST,house:2,LIGHTS,0.133427,0.0334399
2020-01-01 10:00:00 PST,house:2,PLUGS,0.163077,0.0789818
2020-01-01 10:00:00 PST,house:2,DISHWASHER,0.00902821,0.00183326
2020-01-01 10:00:00 PST,house:2,MICROWAVE,0.0116927,0.0119289
2020-01-01 10:00:00 PST,house:2,FREEZER,0.0247697,0.0119965
2020-01-01 10:00:00 PST,house:2,REFRIGERATOR,0.0966942,0.0468311
2020-01-01 10:00:00 PST,house:2,RANGE,0.0167038,0.0103521
2020-01-01 10:00:00 PST,house:2,WATERHEATER,0.231638,0
2020-01-01 10:00:00 PST,house:2,CLOTHESWASHER,0.0120406,0.00583153
2020-01-01 10:00:00 PST,house:2,DRYER,0.113534,0.0161777
2020-01-01 11:00:00 PST,house:8,HVAC,0,0
2020-01-01 11:00:00 PST,house:8,LIGHTS,0.128392,0.032178
2020-01-01 11:00:00 PST,house:8,PLUGS,0.156923,0.0760013
2020-01-01 11:00:00 PST,house:8,DISHWASHER,0.00708464,0.0014386
2020-01-01 11:00:00 PST,house:8,MICROWAVE,0.0153304,0.0156401
2020-01-01 11:00:00 PST,house:8,FREEZER,0.0256419,0.0124189
2020-01-01 11:00:00 PST,house:8,REFRIGERATOR,0.0966942,0.0468311
2020-01-01 11:00:00 PST,house:8,RANGE,0.0219005,0.0135727
